company_id,cluster_id,cluster_name
ABB,0,Defensive Value
ADANIENSOL,3,Cyclical / Moderate Growth
ADANIENT,3,Cyclical / Moderate Growth
ADANIGREEN,1,Cyclical / Moderate Growth
ADANIPORTS,3,Cyclical / Moderate Growth
ADANIPOWER,0,Defensive Value
AMBUJACEM,0,Defensive Value
APOLLOHOSP,3,Cyclical / Moderate Growth
ASIANPAINT,0,Defensive Value
ATGL,0,Defensive Value
BAJAJ-AUTO,0,Defensive Value
BAJAJFINSV,4,Cyclical / Moderate Growth
BAJAJHLDNG,0,Defensive Value
BAJFINANCE,4,Cyclical / Moderate Growth
BEL,3,Cyclical / Moderate Growth
BHARTIARTL,4,Cyclical / Moderate Growth
BHEL,0,Defensive Value
BOSCHLTD,0,Defensive Value
BPCL,3,Cyclical / Moderate Growth
BRITANNIA,3,Cyclical / Moderate Growth
CHOLAFIN,1,Cyclical / Moderate Growth
CIPLA,0,Defensive Value
COALINDIA,0,Defensive Value
DABUR,0,Defensive Value
DIVISLAB,0,Defensive Value
DLF,0,Defensive Value
DMART,0,Defensive Value
DRREDDY,0,Defensive Value
EICHERMOT,0,Defensive Value
GAIL,0,Defensive Value
GODREJCP,0,Defensive Value
GRASIM,3,Cyclical / Moderate Growth
HAL,0,Defensive Value
HAVELLS,0,Defensive Value
HCLTECH,0,Defensive Value
HDFCLIFE,0,Defensive Value
HEROMOTOCO,0,Defensive Value
HINDALCO,0,Defensive Value
HINDUNILVR,0,Defensive Value
ICICIGI,0,Defensive Value
ICICIPRULI,0,Defensive Value
INDIGO,0,Defensive Value
INFY,0,Defensive Value
IOC,3,Cyclical / Moderate Growth
IRCTC,0,Defensive Value
IRFC,1,Cyclical / Moderate Growth
ITC,0,Defensive Value
JINDALSTEL,0,Defensive Value
JIOFIN,0,Defensive Value
JSWENERGY,3,Cyclical / Moderate Growth
JSWSTEEL,3,Cyclical / Moderate Growth
LICI,0,Defensive Value
LODHA,0,Defensive Value
LT,0,Defensive Value
LTIM,0,Defensive Value
M&M,3,Cyclical / Moderate Growth
MARUTI,0,Defensive Value
MOTHERSON,3,Cyclical / Moderate Growth
NAUKRI,0,Defensive Value
NESTLEIND,0,Defensive Value
NHPC,3,Cyclical / Moderate Growth
NTPC,3,Cyclical / Moderate Growth
ONGC,0,Defensive Value
PFC,1,Cyclical / Moderate Growth
PIDILITIND,0,Defensive Value
POWERGRID,3,Cyclical / Moderate Growth
RECLTD,1,Cyclical / Moderate Growth
RELIANCE,0,Defensive Value
SBILIFE,0,Defensive Value
SHREECEM,0,Defensive Value
SHRIRAMFIN,4,Cyclical / Moderate Growth
SIEMENS,2,Defensive Value
SUNPHARMA,0,Defensive Value
TATACONSUM,0,Defensive Value
TATAMOTORS,3,Cyclical / Moderate Growth
TATAPOWER,3,Cyclical / Moderate Growth
TATASTEEL,3,Cyclical / Moderate Growth
TCS,0,Defensive Value
TECHM,0,Defensive Value
TITAN,3,Cyclical / Moderate Growth
TORNTPHARM,0,Defensive Value
TRENT,0,Defensive Value
TVSMOTOR,3,Cyclical / Moderate Growth
