company_id,year,cfo,cff,issue
ABB,2015-03,-35,1902,Operational cash burn funded by financing inflows (debt/equity)
ADANIENSOL,2015-03,-35,1902,Operational cash burn funded by financing inflows (debt/equity)
AXISBANK,2015-03,-15162,31045,Operational cash burn funded by financing inflows (debt/equity)
AXISBANK,2016-03,-34495,22495,Operational cash burn funded by financing inflows (debt/equity)
AXISBANK,2018-03,-38390,41342,Operational cash burn funded by financing inflows (debt/equity)
AXISBANK,2024-03,-5555,22341,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2013-03,-6922,4592,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2014-03,-9807,6521,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2015-03,-10731,6839,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2016-03,-9795,11602,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2017-03,-10922,12513,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2018-03,-19580,19590,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2019-03,-27076,34535,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2020-03,-23369,34479,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2022-03,-33670,32326,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2023-03,-39480,51016,Operational cash burn funded by financing inflows (debt/equity)
BAJAJFINSV,2024-03,-68674,82709,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2015-03,-7064,6867,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2016-03,-9870,11656,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2017-03,-10439,12513,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2018-03,-20566,19503,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2019-03,-29062,34449,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2020-03,-24412,34167,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2021-03,-807,1741,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2022-03,-37090,32275,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2023-03,-42112,50675,Operational cash burn funded by financing inflows (debt/equity)
BAJFINANCE,2024-03,-72760,82415,Operational cash burn funded by financing inflows (debt/equity)
BANKBARODA,2018-03,-59692,3413,Operational cash burn funded by financing inflows (debt/equity)
BANKBARODA,2019-03,-1449,4449,Operational cash burn funded by financing inflows (debt/equity)
BANKBARODA,2024-03,-6274,5476,Operational cash burn funded by financing inflows (debt/equity)
BHEL,2020-03,-2892,1622,Operational cash burn funded by financing inflows (debt/equity)
BHEL,2023-03,-741,89,Operational cash burn funded by financing inflows (debt/equity)
BHEL,2024-03,-3713,2656,Operational cash burn funded by financing inflows (debt/equity)
CANBK,2018-03,-11120,2865,Operational cash burn funded by financing inflows (debt/equity)
CANBK,2020-03,-5289,7792,Operational cash burn funded by financing inflows (debt/equity)
CANBK,2023-03,-39978,445,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2013-03,-3754,4067,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2014-03,-2447,2749,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2015-03,-2264,1819,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2016-03,-2809,3031,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2017-03,-1468,1692,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2018-03,-7926,8009,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2019-03,-9317,12191,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2020-03,-2075,2452,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2021-03,-8848,8707,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2022-03,-5571,5150,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2023-03,-27105,27466,Operational cash burn funded by financing inflows (debt/equity)
CHOLAFIN,2024-03,-35683,38471,Operational cash burn funded by financing inflows (debt/equity)
