[2026-06-20T19:25:50.935565] Company: ABB, Year: 2012-12, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.955563] Company: ABB, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.980805] Company: ABB, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.164874] Company: ADANIENSOL, Year: 2014-03, Metric: npm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.165869] Company: ADANIENSOL, Year: 2014-03, Metric: opm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.166773] Company: ADANIENSOL, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.167829] Company: ADANIENSOL, Year: 2014-03, Metric: asset_turnover, Issue: Division by zero (total_assets=0)
[2026-06-20T19:25:51.216693] Company: ADANIENSOL, Year: 2017-03, Metric: sales_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0, end=2876)
[2026-06-20T19:25:51.221693] Company: ADANIENSOL, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0, end=416)
[2026-06-20T19:25:51.227715] Company: ADANIENSOL, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=4.0)
[2026-06-20T19:25:51.242415] Company: ADANIENSOL, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-7, end=1143)
[2026-06-20T19:25:51.248375] Company: ADANIENSOL, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=10.0)
[2026-06-20T19:25:51.259385] Company: ADANIENSOL, Year: 2019-03, Metric: sales_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0, end=7305)
[2026-06-20T19:25:51.265389] Company: ADANIENSOL, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0, end=559)
[2026-06-20T19:25:51.270384] Company: ADANIENSOL, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=5.0)
[2026-06-20T19:25:51.283882] Company: ADANIENSOL, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-7, end=706)
[2026-06-20T19:25:51.288896] Company: ADANIENSOL, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=7.0)
[2026-06-20T19:25:51.347372] Company: ADANIENSOL, Year: 2024-03, Metric: sales_cagr_10yr, Issue: CAGR flag: ZERO_BASE (start=0, end=16607)
[2026-06-20T19:25:51.353379] Company: ADANIENSOL, Year: 2024-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: ZERO_BASE (start=0, end=1196)
[2026-06-20T19:25:51.360386] Company: ADANIENSOL, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=10.0)
[2026-06-20T19:25:51.665702] Company: ADANIGREEN, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-47, end=-68)
[2026-06-20T19:25:51.669706] Company: ADANIGREEN, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=0.0)
[2026-06-20T19:25:51.682432] Company: ADANIGREEN, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-138, end=182)
[2026-06-20T19:25:51.687277] Company: ADANIGREEN, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=1.0)
[2026-06-20T19:25:51.700391] Company: ADANIGREEN, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-475, end=489)
[2026-06-20T19:25:51.702392] Company: ADANIGREEN, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-47, end=489)
[2026-06-20T19:25:51.706387] Company: ADANIGREEN, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=3.0)
[2026-06-20T19:25:51.709347] Company: ADANIGREEN, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=3.0)
[2026-06-20T19:25:51.720494] Company: ADANIGREEN, Year: 2023-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-68, end=973)
[2026-06-20T19:25:51.722499] Company: ADANIGREEN, Year: 2023-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-138, end=973)
[2026-06-20T19:25:51.726497] Company: ADANIGREEN, Year: 2023-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=6.0)
[2026-06-20T19:25:51.729181] Company: ADANIGREEN, Year: 2023-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=6.0)
[2026-06-20T19:25:51.741916] Company: ADANIGREEN, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-475, end=1260)
[2026-06-20T19:25:51.748014] Company: ADANIGREEN, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=7.0)
[2026-06-20T19:25:52.080699] Company: ADANIPOWER, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2295, end=551)
[2026-06-20T19:25:52.087817] Company: ADANIPOWER, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-10.0, end=2.0)
[2026-06-20T19:25:52.107634] Company: ADANIPOWER, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-291, end=-6174)
[2026-06-20T19:25:52.115656] Company: ADANIPOWER, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-1.0, end=-16.0)
[2026-06-20T19:25:52.129185] Company: ADANIPOWER, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-816, end=-2103)
[2026-06-20T19:25:52.131202] Company: ADANIPOWER, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-2295, end=-2103)
[2026-06-20T19:25:52.135192] Company: ADANIPOWER, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-3.0, end=-5.0)
[2026-06-20T19:25:52.137197] Company: ADANIPOWER, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-10.0, end=-5.0)
[2026-06-20T19:25:52.150186] Company: ADANIPOWER, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=551, end=-984)
[2026-06-20T19:25:52.152187] Company: ADANIPOWER, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-291, end=-984)
[2026-06-20T19:25:52.156186] Company: ADANIPOWER, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2.0, end=-3.0)
[2026-06-20T19:25:52.159182] Company: ADANIPOWER, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-1.0, end=-3.0)
[2026-06-20T19:25:52.170392] Company: ADANIPOWER, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-6174, end=-2275)
[2026-06-20T19:25:52.172400] Company: ADANIPOWER, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-816, end=-2275)
[2026-06-20T19:25:52.177399] Company: ADANIPOWER, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-16.0, end=-6.0)
[2026-06-20T19:25:52.179427] Company: ADANIPOWER, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-3.0, end=-6.0)
[2026-06-20T19:25:52.191122] Company: ADANIPOWER, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-2103, end=1270)
[2026-06-20T19:25:52.198144] Company: ADANIPOWER, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-5.0, end=3.0)
[2026-06-20T19:25:52.210135] Company: ADANIPOWER, Year: 2022-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-984, end=4912)
[2026-06-20T19:25:52.212230] Company: ADANIPOWER, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-6174, end=4912)
[2026-06-20T19:25:52.216349] Company: ADANIPOWER, Year: 2022-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=13.0)
[2026-06-20T19:25:52.218297] Company: ADANIPOWER, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-16.0, end=13.0)
